,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_charges,total_calls,total_minutes,day_charge_per call,eve_charge_per_call,night_charge_per_call,intl_charge_per_call,day_call_length_per_call,eve_call_length_per_call,night_call_length_per_call,intl_call_length_per_call,day_charge_per_min,eve_charge_per_min,night_charge_per_min,intl_charge_per_min,day_charge_percentage,eve_charge_percentage,night_charge_percentage,intl_charge_percentage
904,61,0,0,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,1,75.0,323,714.0,0.359,0.141,0.151,0.81,2.114,1.657,3.353,3.0,0.17,0.085,0.045,0.27,0.589,0.239,0.141,0.032
905,161,0,0,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,1,51.0,311,481.0,0.289,0.069,0.086,0.905,1.698,0.815,1.914,3.35,0.17,0.085,0.045,0.27,0.64,0.118,0.181,0.071
906,73,0,0,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,0,62.0,291,552.0,0.381,0.154,0.069,1.217,2.242,1.815,1.53,4.5,0.17,0.085,0.045,0.27,0.584,0.259,0.099,0.059
907,118,0,1,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,0,45.0,230,490.0,0.242,0.129,0.151,2.28,1.423,1.522,3.363,8.45,0.17,0.085,0.045,0.27,0.446,0.207,0.246,0.101
908,23,0,0,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,0,60.0,274,591.0,0.363,0.131,0.135,1.012,2.137,1.541,3.011,3.75,0.17,0.085,0.045,0.27,0.539,0.236,0.165,0.067
909,127,0,1,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,0,41.0,314,516.0,0.147,0.127,0.115,0.23,0.865,1.498,2.547,0.85,0.17,0.085,0.045,0.271,0.341,0.339,0.291,0.034
910,42,0,1,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,0,54.0,314,540.0,0.348,0.123,0.081,0.438,2.047,1.446,1.796,1.62,0.17,0.085,0.045,0.27,0.516,0.28,0.159,0.041
911,118,0,0,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,1,86.0,368,807.0,0.314,0.222,0.103,0.354,1.847,2.615,2.292,1.309,0.17,0.085,0.045,0.27,0.529,0.313,0.109,0.045
912,45,0,0,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,0,48.0,273,454.0,0.299,0.119,0.079,0.953,1.756,1.4,1.753,3.533,0.17,0.085,0.045,0.27,0.566,0.213,0.153,0.06
913,50,0,1,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,0,78.0,318,827.0,0.282,0.448,0.108,0.715,1.661,5.269,2.404,2.65,0.17,0.085,0.045,0.27,0.467,0.316,0.18,0.037
914,179,0,0,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0,1,88.0,353,852.0,0.397,0.215,0.107,0.71,2.336,2.526,2.375,2.625,0.17,0.085,0.045,0.27,0.555,0.278,0.136,0.032
915,152,0,0,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,0,40.0,336,449.0,0.141,0.138,0.072,0.677,0.83,1.628,1.601,2.5,0.17,0.085,0.045,0.271,0.43,0.301,0.223,0.051
916,105,0,0,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,0,55.0,317,626.0,0.236,0.192,0.091,0.712,1.389,2.254,2.019,2.64,0.17,0.085,0.045,0.27,0.318,0.435,0.187,0.065
917,72,0,0,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,0,44.0,283,529.0,0.191,0.102,0.158,0.373,1.125,1.205,3.521,1.383,0.17,0.085,0.045,0.27,0.422,0.223,0.302,0.051
918,52,0,0,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,0,72.0,307,781.0,0.548,0.171,0.119,0.7,3.222,2.009,2.637,2.6,0.17,0.085,0.045,0.269,0.51,0.256,0.214,0.019
919,125,0,0,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1,0,57.0,324,534.0,0.314,0.113,0.076,0.742,1.849,1.327,1.686,2.75,0.17,0.085,0.045,0.27,0.607,0.192,0.15,0.052
920,143,0,0,0,110.1,113,18.72,169.0,59,14.37,166.7,94,7.5,9.2,2,2.48,1,0,43.0,268,455.0,0.166,0.244,0.08,1.24,0.974,2.864,1.773,4.6,0.17,0.085,0.045,0.27,0.435,0.334,0.174,0.058
921,65,0,0,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1,0,48.0,238,537.0,0.37,0.222,0.102,0.085,2.176,2.617,2.27,0.314,0.17,0.085,0.045,0.27,0.393,0.389,0.189,0.025
922,80,0,0,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0,72.0,283,756.0,0.337,0.237,0.155,0.502,1.983,2.79,3.437,1.86,0.17,0.085,0.045,0.27,0.566,0.168,0.228,0.035
923,1,0,0,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,0,48.0,255,490.0,0.23,0.145,0.125,1.243,1.353,1.705,2.768,4.6,0.17,0.085,0.045,0.27,0.513,0.199,0.205,0.078
924,60,0,0,0,135.4,134,23.02,205.9,85,17.5,204.0,103,9.18,7.9,4,2.13,1,0,52.0,326,553.0,0.172,0.206,0.089,0.532,1.01,2.422,1.981,1.975,0.17,0.085,0.045,0.27,0.443,0.337,0.177,0.041
925,43,0,0,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,0,33.0,318,372.0,0.107,0.067,0.112,1.46,0.628,0.784,2.482,5.4,0.17,0.085,0.045,0.27,0.434,0.208,0.267,0.088
926,143,0,0,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0,0,56.0,303,509.0,0.28,0.113,0.09,0.63,1.646,1.326,1.996,2.333,0.17,0.085,0.045,0.27,0.635,0.161,0.144,0.067
927,81,0,1,24,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0,0,48.0,306,477.0,0.189,0.273,0.051,0.616,1.112,3.213,1.133,2.28,0.17,0.085,0.045,0.27,0.461,0.347,0.131,0.064
928,205,0,1,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2,0,53.0,306,519.0,0.215,0.134,0.127,0.422,1.265,1.582,2.823,1.56,0.17,0.085,0.045,0.271,0.564,0.249,0.153,0.04
929,24,0,0,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,0,65.0,326,608.0,0.395,0.11,0.092,0.356,2.326,1.296,2.043,1.32,0.17,0.085,0.045,0.27,0.633,0.19,0.148,0.027
930,74,0,0,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,0,57.0,329,640.0,0.219,0.185,0.105,0.662,1.29,2.177,2.327,2.45,0.17,0.085,0.045,0.27,0.408,0.341,0.209,0.046
931,77,0,0,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1,0,42.0,293,512.0,0.169,0.193,0.078,1.62,0.996,2.276,1.726,6.0,0.17,0.085,0.045,0.27,0.274,0.396,0.253,0.077
932,74,0,0,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10.0,2,2.7,1,0,70.0,312,672.0,0.392,0.25,0.058,1.35,2.303,2.945,1.289,5.0,0.17,0.085,0.045,0.27,0.487,0.375,0.098,0.039
933,74,1,0,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,1,52.0,346,555.0,0.208,0.184,0.065,0.952,1.221,2.164,1.45,3.525,0.17,0.085,0.045,0.27,0.411,0.339,0.179,0.073
934,200,0,0,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,0,44.0,317,450.0,0.25,0.108,0.065,1.51,1.474,1.269,1.444,5.6,0.17,0.085,0.045,0.27,0.495,0.257,0.182,0.069
935,86,0,0,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4,0,72.0,290,718.0,0.437,0.177,0.125,1.17,2.572,2.084,2.778,4.333,0.17,0.085,0.045,0.27,0.534,0.263,0.16,0.049
936,91,0,1,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,0,62.0,320,683.0,0.258,0.173,0.133,0.62,1.517,2.034,2.951,2.3,0.17,0.085,0.045,0.27,0.445,0.321,0.201,0.04
937,76,0,0,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,0,61.0,294,563.0,0.315,0.13,0.112,0.905,1.855,1.525,2.484,3.35,0.17,0.085,0.045,0.27,0.625,0.206,0.136,0.03
938,130,0,0,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,0,53.0,288,595.0,0.161,0.31,0.114,1.93,0.949,3.648,2.524,7.15,0.17,0.085,0.045,0.27,0.387,0.304,0.229,0.073
939,56,0,0,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,0,47.0,302,583.0,0.172,0.133,0.152,0.401,1.012,1.559,3.379,1.487,0.17,0.085,0.045,0.27,0.33,0.324,0.288,0.068
940,117,0,0,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,0,63.0,354,630.0,0.209,0.192,0.087,1.047,1.232,2.256,1.932,3.875,0.17,0.085,0.045,0.27,0.456,0.326,0.146,0.067
941,63,0,0,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,0,63.0,286,678.0,0.322,0.212,0.122,0.352,1.895,2.498,2.708,1.3,0.17,0.085,0.045,0.271,0.414,0.388,0.164,0.028
942,126,0,0,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,0,62.0,314,582.0,0.437,0.105,0.085,0.865,2.57,1.231,1.899,3.2,0.17,0.085,0.045,0.27,0.62,0.192,0.152,0.028
943,132,0,0,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,0,66.0,324,683.0,0.305,0.139,0.139,1.7,1.793,1.629,3.091,6.3,0.17,0.085,0.045,0.27,0.494,0.267,0.185,0.052
944,81,0,1,28,167.9,147,28.54,190.7,105,16.21,193.0,103,8.69,9.2,6,2.48,4,1,56.0,361,561.0,0.194,0.154,0.084,0.413,1.142,1.816,1.874,1.533,0.17,0.085,0.045,0.27,0.51,0.289,0.155,0.044
945,122,0,0,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,0,57.0,291,570.0,0.348,0.16,0.088,0.518,2.045,1.883,1.947,1.917,0.17,0.085,0.045,0.27,0.537,0.216,0.185,0.055
946,46,0,0,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,1,79.0,270,736.0,0.653,0.244,0.086,0.724,3.842,2.869,1.91,2.68,0.17,0.085,0.045,0.27,0.554,0.281,0.116,0.046
947,150,0,1,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,0,56.0,289,557.0,0.395,0.18,0.07,0.742,2.325,2.124,1.551,2.75,0.17,0.085,0.045,0.27,0.529,0.258,0.162,0.053
948,99,0,0,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,0,54.0,321,579.0,0.327,0.109,0.101,0.757,1.924,1.284,2.243,2.8,0.17,0.085,0.045,0.27,0.503,0.245,0.213,0.042
949,87,0,0,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,0,70.0,295,644.0,0.325,0.217,0.096,0.99,1.913,2.559,2.14,3.667,0.17,0.085,0.045,0.27,0.576,0.27,0.111,0.042
950,108,0,0,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,0,48.0,324,523.0,0.136,0.2,0.086,0.71,0.798,2.352,1.912,2.633,0.17,0.085,0.045,0.27,0.365,0.429,0.16,0.044
951,101,0,0,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,0,58.0,257,596.0,0.294,0.223,0.115,1.565,1.728,2.629,2.549,5.8,0.17,0.085,0.045,0.27,0.451,0.343,0.152,0.054
952,53,0,0,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,0,58.0,325,526.0,0.405,0.144,0.047,1.445,2.385,1.689,1.053,5.35,0.17,0.085,0.045,0.27,0.601,0.235,0.116,0.05
953,132,0,1,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,0,58.0,308,597.0,0.321,0.169,0.086,0.773,1.889,1.991,1.911,2.867,0.17,0.085,0.045,0.27,0.515,0.274,0.175,0.04
954,158,0,0,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2,0,58.0,359,610.0,0.215,0.17,0.086,0.29,1.267,2.002,1.905,1.075,0.17,0.085,0.045,0.27,0.457,0.329,0.172,0.04
955,114,0,1,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,0,57.0,359,595.0,0.241,0.133,0.091,0.556,1.417,1.559,2.024,2.06,0.17,0.085,0.045,0.27,0.461,0.33,0.165,0.049
956,77,0,1,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,0,62.0,250,606.0,0.488,0.248,0.083,0.64,2.873,2.914,1.851,2.367,0.17,0.085,0.045,0.27,0.575,0.252,0.149,0.031
957,144,1,0,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,0,61.0,278,636.0,0.37,0.333,0.071,0.169,2.174,3.916,1.575,0.627,0.17,0.085,0.045,0.27,0.418,0.398,0.141,0.042
958,91,0,1,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,0,67.0,316,621.0,0.407,0.18,0.067,1.107,2.396,2.114,1.488,4.1,0.17,0.085,0.045,0.27,0.59,0.236,0.128,0.05
959,58,0,0,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,0,50.0,310,488.0,0.281,0.113,0.074,0.692,1.654,1.33,1.642,2.56,0.17,0.085,0.045,0.27,0.562,0.197,0.174,0.069
960,5,0,0,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,0,63.0,206,614.0,0.319,1.327,0.113,1.197,1.879,15.608,2.518,4.433,0.17,0.085,0.045,0.27,0.537,0.253,0.153,0.057
961,97,0,0,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,0,72.0,245,693.0,0.457,0.534,0.062,0.377,2.686,6.284,1.37,1.4,0.17,0.085,0.045,0.269,0.514,0.378,0.094,0.016
962,107,0,0,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,0,61.0,296,590.0,0.38,0.145,0.089,1.04,2.233,1.706,1.98,3.85,0.17,0.085,0.045,0.27,0.591,0.209,0.162,0.034
963,142,0,1,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,0,55.0,260,601.0,0.349,0.145,0.146,0.584,2.053,1.709,3.253,2.16,0.17,0.085,0.045,0.27,0.476,0.256,0.221,0.053
964,9,0,1,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,0,62.0,332,601.0,0.253,0.176,0.084,1.795,1.491,2.067,1.875,6.65,0.17,0.085,0.045,0.27,0.531,0.278,0.139,0.058
965,73,0,0,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,0,60.0,324,558.0,0.229,0.201,0.065,0.822,1.349,2.363,1.44,3.05,0.17,0.085,0.045,0.27,0.497,0.351,0.092,0.055
966,48,0,1,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,1,64.0,308,690.0,0.41,0.168,0.109,0.848,2.413,1.976,2.415,3.14,0.17,0.085,0.045,0.27,0.404,0.344,0.185,0.066
967,43,0,0,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,0,63.0,371,554.0,0.266,0.131,0.058,0.827,1.566,1.543,1.284,3.067,0.17,0.085,0.045,0.27,0.621,0.252,0.092,0.039
968,122,0,1,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,1,62.0,327,601.0,0.289,0.201,0.064,1.217,1.698,2.364,1.419,4.5,0.17,0.085,0.045,0.27,0.48,0.34,0.12,0.059
969,93,0,0,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,0,63.0,228,591.0,0.475,0.348,0.064,0.595,2.797,4.097,1.413,2.2,0.17,0.085,0.045,0.27,0.513,0.354,0.093,0.038
970,85,0,0,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,0,62.0,296,632.0,0.246,0.155,0.198,3.11,1.446,1.828,4.392,11.5,0.17,0.085,0.045,0.27,0.484,0.308,0.159,0.05
971,59,0,0,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3,0,62.0,262,690.0,0.288,0.328,0.127,0.27,1.694,3.865,2.819,1.0,0.17,0.085,0.045,0.27,0.441,0.344,0.198,0.022
972,87,0,0,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,0,63.0,282,558.0,0.432,0.14,0.077,1.063,2.541,1.646,1.712,3.933,0.17,0.085,0.045,0.27,0.617,0.22,0.11,0.051
973,137,0,0,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,0,49.0,285,466.0,0.272,0.154,0.062,1.66,1.6,1.816,1.377,6.15,0.17,0.085,0.045,0.27,0.5,0.315,0.118,0.068
974,21,0,1,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,0,57.0,270,596.0,0.257,0.274,0.091,0.367,1.51,3.226,2.012,1.357,0.17,0.085,0.045,0.271,0.405,0.404,0.141,0.045
975,129,0,0,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,1,85.0,311,728.0,0.482,0.157,0.103,0.468,2.833,1.847,2.301,1.733,0.17,0.085,0.045,0.27,0.669,0.192,0.101,0.033
976,104,0,0,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,0,49.0,263,539.0,0.288,0.095,0.189,0.585,1.695,1.121,4.202,2.167,0.17,0.085,0.045,0.27,0.453,0.228,0.243,0.072
977,93,0,1,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,1,48.0,325,495.0,0.217,0.108,0.093,1.595,1.278,1.27,2.073,5.9,0.17,0.085,0.045,0.27,0.475,0.288,0.175,0.066
978,63,0,0,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,1,84.0,338,782.0,0.463,0.199,0.085,0.885,2.725,2.337,1.899,3.275,0.17,0.085,0.045,0.27,0.563,0.27,0.12,0.042
979,161,0,0,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,0,48.0,323,552.0,0.256,0.15,0.08,0.422,1.506,1.761,1.775,1.56,0.17,0.085,0.045,0.271,0.373,0.38,0.21,0.044
980,50,0,0,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,0,59.0,330,556.0,0.342,0.167,0.055,0.391,2.01,1.961,1.224,1.45,0.17,0.085,0.045,0.27,0.544,0.294,0.116,0.053
981,103,0,1,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,0,53.0,272,627.0,0.224,0.2,0.149,0.465,1.315,2.349,3.312,1.725,0.17,0.085,0.045,0.27,0.359,0.384,0.228,0.035
982,84,0,1,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,0,53.0,333,535.0,0.255,0.126,0.089,0.195,1.501,1.483,1.976,0.722,0.17,0.085,0.045,0.27,0.51,0.24,0.181,0.066
983,92,0,0,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,0,68.0,332,667.0,0.344,0.162,0.095,0.607,2.023,1.903,2.108,2.25,0.17,0.085,0.045,0.27,0.531,0.281,0.146,0.036
984,77,0,0,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,0,62.0,306,655.0,0.216,0.235,0.108,2.67,1.271,2.759,2.396,9.9,0.17,0.085,0.045,0.27,0.39,0.42,0.143,0.043
985,64,1,0,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,1,96.0,245,885.0,1.072,0.268,0.121,0.399,6.305,3.158,2.7,1.478,0.17,0.085,0.045,0.27,0.614,0.221,0.129,0.037
986,159,0,1,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,0,44.0,394,466.0,0.19,0.085,0.064,0.354,1.117,0.995,1.425,1.311,0.17,0.085,0.045,0.27,0.44,0.281,0.2,0.072
987,110,1,1,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,1,78.0,285,718.0,0.442,0.302,0.076,1.12,2.601,3.558,1.68,4.15,0.17,0.085,0.045,0.27,0.584,0.287,0.103,0.029
988,138,0,0,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,0,54.0,364,528.0,0.249,0.076,0.088,1.147,1.465,0.9,1.952,4.25,0.17,0.085,0.045,0.27,0.54,0.181,0.187,0.085
989,178,0,0,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,0,73.0,341,624.0,0.312,0.257,0.053,1.223,1.836,3.024,1.167,4.533,0.17,0.085,0.045,0.27,0.641,0.218,0.091,0.05
990,38,0,1,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,0,69.0,294,750.0,0.284,0.303,0.129,0.525,1.671,3.57,2.874,1.95,0.17,0.085,0.045,0.269,0.486,0.308,0.195,0.015
991,50,0,1,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,0,56.0,301,552.0,0.338,0.114,0.096,1.065,1.986,1.339,2.141,3.95,0.17,0.085,0.045,0.27,0.585,0.205,0.174,0.038
992,45,0,1,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,0,33.0,331,313.0,0.15,0.108,0.028,0.416,0.882,1.266,0.615,1.54,0.17,0.085,0.045,0.27,0.472,0.388,0.086,0.063
993,70,0,0,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,0,48.0,303,533.0,0.217,0.114,0.12,1.295,1.276,1.336,2.666,4.8,0.17,0.085,0.045,0.27,0.447,0.251,0.24,0.054
994,147,0,1,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,0,75.0,310,709.0,0.4,0.181,0.11,0.468,2.35,2.128,2.453,1.733,0.17,0.085,0.045,0.27,0.57,0.265,0.128,0.037
995,94,0,0,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,0,54.0,305,495.0,0.3,0.136,0.067,0.406,1.765,1.603,1.492,1.5,0.17,0.085,0.045,0.271,0.6,0.24,0.121,0.038
996,179,0,0,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,0,48.0,308,511.0,0.195,0.173,0.08,0.626,1.15,2.038,1.766,2.32,0.17,0.085,0.045,0.27,0.411,0.357,0.171,0.065
997,116,0,0,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,0,65.0,265,593.0,0.406,0.193,0.088,1.017,2.388,2.275,1.949,3.767,0.17,0.085,0.045,0.27,0.568,0.283,0.102,0.047
998,59,0,0,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,0,62.0,287,602.0,0.381,0.2,0.075,1.323,2.242,2.348,1.674,4.9,0.17,0.085,0.045,0.27,0.492,0.319,0.128,0.064
999,165,0,0,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,0,54.0,297,435.0,0.324,0.149,0.027,0.71,1.906,1.753,0.599,2.633,0.17,0.085,0.045,0.27,0.654,0.259,0.045,0.039
1000,133,0,0,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,1,75.0,362,636.0,0.342,0.166,0.051,0.865,2.009,1.952,1.139,3.2,0.17,0.085,0.045,0.27,0.629,0.259,0.07,0.046
1001,140,0,0,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,0,50.0,303,562.0,0.254,0.118,0.125,0.567,1.492,1.385,2.772,2.1,0.17,0.085,0.045,0.27,0.426,0.285,0.235,0.045
1002,93,0,1,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,0,50.0,281,551.0,0.258,0.197,0.093,0.613,1.518,2.324,2.077,2.267,0.17,0.085,0.045,0.271,0.47,0.284,0.215,0.037
1003,52,0,1,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0,0,58.0,274,575.0,0.327,0.198,0.09,0.737,1.924,2.329,2.0,2.733,0.17,0.085,0.045,0.27,0.496,0.331,0.133,0.038
1004,64,0,1,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,0,57.0,320,508.0,0.339,0.137,0.053,1.107,1.993,1.616,1.183,4.1,0.17,0.085,0.045,0.27,0.6,0.214,0.119,0.058
1005,12,1,0,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2,0,59.0,357,563.0,0.315,0.079,0.09,0.662,1.852,0.925,2.0,2.45,0.17,0.085,0.045,0.27,0.624,0.168,0.168,0.045
1006,48,0,0,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,0,68.0,294,650.0,0.352,0.318,0.053,0.56,2.07,3.735,1.181,2.075,0.17,0.085,0.045,0.27,0.476,0.397,0.088,0.033
1007,181,0,0,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,0,53.0,251,568.0,0.268,0.287,0.106,0.231,1.575,3.371,2.351,0.857,0.17,0.085,0.045,0.27,0.46,0.314,0.19,0.031
1008,168,0,1,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,0,45.0,281,486.0,0.291,0.177,0.063,1.54,1.709,2.078,1.402,5.7,0.17,0.085,0.045,0.27,0.368,0.385,0.174,0.068
1009,155,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,0,56.0,328,529.0,0.278,0.155,0.062,1.017,1.634,1.823,1.381,3.767,0.17,0.085,0.045,0.27,0.551,0.254,0.135,0.054
